submission_id,problem_id,outcome,classification,stderr_tail
s998562544,p02860,FAILED,OTHER," function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02860\C++\s998562544.cpp:32:1: error: expected '}' at end of input
 }
 ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02860\C++\s998562544.cpp:32:1: error: expected '}' at end of input
"
s507059589,p03046,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03046\C++\s507059589.cpp: In function 'void solve()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03046\C++\s507059589.cpp:45:8: error: 'i' was not declared in this scope
     if(i==m && k==1)
        ^
"
s180978103,p03477,FAILED,OTHER,"ment deduction/substitution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03477\C++\s180978103.cpp:17:30: note:   'std::basic_ostream<char>' is not derived from 'std::basic_istream<_CharT, _Traits>'
   else{cout << ""Balanced"" >> endl;
                              ^~~~
"
s834170219,p03759,FAILED,OTHER,"tion failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03759\C++\s834170219.cpp:9:15: note:   'std::__cxx11::string {aka std::__cxx11::basic_string<char>}' is not derived from 'const __gnu_cxx::__normal_iterator<_IteratorL, _Container>'
   if(b-a == c-b) {
               ^
"
s363457044,p02878,FAILED,OTHER,"ces\p02878\C++\s363457044.cpp:1:23: error: stray '\201' in program
 ã�Šå‰�ã‚’è¦‹ã�¦ã�„ã‚‹ã�ž
                       ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02878\C++\s363457044.cpp:1:24: error: stray '\236' in program
 ã�Šå‰�ã‚’è¦‹ã�¦ã�„ã‚‹ã�ž
                        ^
"
s950246470,p02510,COMPILED_CLEAN,,
s009795633,p03240,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03240\C++\s009795633.cpp: In function 'bool check(int, int)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03240\C++\s009795633.cpp:26:4: error: expected ';' before 'break'
    break;
    ^~~~~
"
s984098426,p03893,FAILED,OTHER,"defect-prediction\data\processed\sources\p03893\C++\s984098426.cpp:5:5: error: 'f' was not declared in this scope
     f[0]=2;
     ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03893\C++\s984098426.cpp:6:10: error: 'n' was not declared in this scope
     cin>>n;
          ^
"
s906094223,p03099,COMPILED_CLEAN,,
s201459025,p02885,FAILED,OTHER,"\p02885\C++\s201459025.cpp:7:26: error: expected ';' before '}' token
   if(A>2*B){cout << A-2*B}
                          ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02885\C++\s201459025.cpp:8:17: error: expected ';' before '}' token
   else{cout << 0}
                 ^
"
s896714300,p02791,FAILED,OTHER,"data\processed\sources\p02791\C++\s896714300.cpp:9:10: error: 'p' was not declared in this scope
     cin>>p[i];
          ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02791\C++\s896714300.cpp:18:10: error: 'p' was not declared in this scope
       if(p[i]>p[j])
          ^
"
s455834621,p00921,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00921\C++\s455834621.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00921\C++\s455834621.cpp:109:3: error: expected ';' before '}' token
   }
   ^
"
s159071728,p03028,FAILED,OTHER,"9071728.cpp:29:18: error: 'A' was not declared in this scope
     bitset<2020> A[2020];
                  ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03028\C++\s159071728.cpp:38:18: error: 'DP' was not declared in this scope
     bitset<2020> DP[2020];
                  ^~
"
s521475137,p02917,FAILED,OTHER,"'i' was not declared in this scope
     rep(i,n-2)ans+=min(b[i],b[i+1]);
         ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02917\C++\s521475137.cpp:3:33: note: in definition of macro 'rep'
 #define  rep(i,n) for(ll i = 0; i < (n); ++i)
                                 ^
"
s862654799,p00324,FAILED,OTHER,"efect-prediction\data\processed\sources\p00324\C++\s862654799.cpp:7:27:   required from here
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\stl_tree.h:2250:29: error: invalid type argument of unary '*' (have 'int')
    _M_insert_unique_(end(), *__first, __an);
                             ^~~~~~~~
"
s741662615,p00340,FAILED,OTHER,"ocessed\sources\p00340\C++\s741662615.cpp:5:5: error: expected ';' before 'if'
     if(e1==e2&&e2==e3) printf(""Yes\n"");
     ^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00340\C++\s741662615.cpp:11:3: error: 'returan' was not declared in this scope
   returan 0;
   ^~~~~~~
"
s538618843,p02839,FAILED,OTHER,"ssed\sources\p02839\C++\s538618843.cpp:41:4: error: 'cout' was not declared in this scope
    cout<<i<<endl;
    ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02839\C++\s538618843.cpp:41:13: error: 'endl' was not declared in this scope
    cout<<i<<endl;
             ^~~~
"
s088651205,p02683,FAILED,OTHER,"iction\data\processed\sources\p02683\C++\s088651205.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02683\C++\s088651205.cpp:15:26: error: 'INT_MAX' was not declared in this scope
     long long int min1 = INT_MAX;
                          ^~~~~~~
"
s301400260,p00228,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00228\C++\s301400260.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00228\C++\s301400260.cpp:59:1: error: expected '}' at end of input
 }
 ^
"
s262366300,p02950,FAILED,OTHER,"ocessed\sources\p02950\C++\s262366300.cpp: In constructor 'combination::combination(long long int)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02950\C++\s262366300.cpp:116:23: error: 'assert' was not declared in this scope
         assert(n < mod);
                       ^
"
s017080525,p01271,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01271\C++\s017080525.cpp:1:1: error: 'from' does not name a type
 from collections import deque
 ^~~~
"
s252936692,p02687,FAILED,OTHER,"titution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02687\C++\s252936692.cpp:9:10: note:   'std::__cxx11::string {aka std::__cxx11::basic_string<char>}' is not derived from 'const __gnu_cxx::__normal_iterator<_IteratorL, _Container>'
  if(str=='ABC')
          ^~~~~
"
s982179189,p02793,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02793\C++\s982179189.cpp:16:44: fatal error: boost/multiprecision/cpp_int.hpp: No such file or directory
 #include <boost/multiprecision/cpp_int.hpp>
                                            ^
compilation terminated.
"
s139198924,p02588,FAILED,OTHER,"data\processed\sources\p02588\C++\s139198924.cpp:15:47: error: invalid operands of types '__gnu_cxx::__alloc_traits<std::allocator<double> >::value_type {aka double}' and 'int' to binary 'operator^'
            double b = a[i]*10^15-floor(a[i]*10^15)
                                                
"
s076910188,p00023,FAILED,OTHER,"processed\sources\p00023\C++\s076910188.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00023\C++\s076910188.cpp:14:32: error: 'else' without a previous 'if'
   else{if(ra>rb)cout<<2<<endl;}else{cout<<-2<<endl;}
                                ^~~~
"
s821366154,p03357,FAILED,OTHER,"++\map:61,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03357\C++\s821366154.cpp:10:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\array:90:12: note:                 template<class _Tp, unsigned int _Nm> struct std::array
     struct array
            ^~~~~
"
s182846689,p00234,FAILED,OTHER,"9.cpp:38:7: note:   crosses initialization of 'int Min'
   int Min = INF;
       ^~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00234\C++\s182846689.cpp:16:21: note:   crosses initialization of 'std::priority_queue<st> que'
   priority_queue<st>que;
                     ^~~
"
s421654171,p00927,FAILED,OTHER,"ransformer-defect-prediction\data\processed\sources\p00927\C++\s421654171.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00927\C++\s421654171.cpp:33:15: error: 'FLT_MAX' was not declared in this scope
  double ans = FLT_MAX;
               ^~~~~~~
"
s077209011,p03787,FAILED,OTHER,"sformer-defect-prediction\data\processed\sources\p03787\C++\s077209011.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03787\C++\s077209011.cpp:90:19: error: 'used' was not declared in this scope
   REP(i,n) assert(used[i]==1);
                   ^
"
s149003822,p03005,COMPILED_CLEAN,,
s143734746,p01225,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01225\C++\s143734746.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01225\C++\s143734746.cpp:46:4: error: expected ';' before 'if'
    if(color == ""G"") n[k] += 40;
    ^~
"
s129528959,p02670,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02670\C++\s129528959.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02670\C++\s129528959.cpp:291:1: error: expected '}' at end of input
 }
 ^
"
s192374550,p01780,FAILED,OTHER,"\C++\s192374550.cpp: In function 'void compute()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01780\C++\s192374550.cpp:144:16: error: 'll' was not declared in this scope
     answer += (ll)( (ll)abs(score[s]-score[node]) + (ll)abs(score[node]-score[t]) );
                ^~
"
s879465307,p00767,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00767\C++\s879465307.cpp:4:20: fatal error: stdafx.h: No such file or directory
 #include ""stdafx.h""
                    ^
compilation terminated.
"
s783213362,p00814,COMPILED_CLEAN,,
s588760372,p00058,FAILED,OTHER,"is scope
     if(isTyokko(a, b, c, d)) printf(""YES\n"");
                                            ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00058\C++\s588760372.cpp:32:23: error: 'printf' was not declared in this scope
     else printf(""NO\n"");
                       ^
"
s165493714,p03203,FAILED,OTHER,"ubstitution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03203\C++\s165493714.cpp:35:53: note:   mismatched types 'std::initializer_list<_Tp>' and 'int'
             for(int j=0;j<min(1000,h-a[i].x,w-a[i].y);++j){
                                                     ^
"
s539625125,p03195,FAILED,OTHER,"Github\transformer-defect-prediction\data\processed\sources\p03195\C++\s539625125.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03195\C++\s539625125.cpp:21:18: error: 'K' was not declared in this scope
  if (j % 2 == 0) K = 1;
                  ^
"
s820192303,p03953,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03953\C++\s820192303.cpp:7:10: error: '::main' must return 'int'
 int main()
          ^
"
s046994269,p01173,COMPILED_CLEAN,,
s073946055,p03116,FAILED,OTHER,"p:610:78: fatal error: ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp: No such file or directory
 #include <ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp>
                                                                              ^
compilation terminated.
"
s113263564,p00521,FAILED,OTHER,"c++\iostream:39,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00521\C++\s113263564.cpp:1:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\stl_function.h:147:12: note:                 template<class _Tp> struct std::plus
     struct plus;
            ^~~~
"
s230821716,p02950,FAILED,OTHER,"essed\sources\p02950\C++\s230821716.cpp: In function 'void div(int*, int*, int, int)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02950\C++\s230821716.cpp:60:19: error: 'd' was not declared in this scope
   ad(B[i-1],A[i]);d l(A[i-1],1LL*A[i]*y[0]%mod);
                   ^
"
s907241357,p02697,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02697\C++\s907241357.cpp:70:1: error: expected declaration before '}' token
 }
 ^
"
s895117405,p02373,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02373\C++\s895117405.cpp:15:20: error: size of array 'seek' is too large
 int seek[MAXN][MAXN];
                    ^
"
s886994645,p00061,FAILED,OTHER,"+\s886994645.cpp:25:5: error: 'cout' was not declared in this scope
     cout << cnt << endl;
     ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00061\C++\s886994645.cpp:25:20: error: 'endl' was not declared in this scope
     cout << cnt << endl;
                    ^~~~
"
s207516198,p00230,COMPILED_CLEAN,,
s092134975,p03467,FAILED,OTHER,"3: error: 'mask' was not declared in this scope
   mask = mask << 1 | str[i] - '0';
   ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03467\C++\s092134975.cpp:36:25: error: 'mask' was not declared in this scope
  printf(""%d\n"", calc(n, mask));
                         ^~~~
"
s347386418,p00026,COMPILED_CLEAN,,
s863431309,p02714,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02714\C++\s863431309.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02714\C++\s863431309.cpp:23:10: error: 'rgb' was not declared in this scope
   ll ans=rgb;
          ^~~
"
s553659007,p01752,FAILED,OTHER,"er-defect-prediction\data\processed\sources\p01752\C++\s553659007.cpp:69:5: error: expected unqualified-id before 'return'
     return 0;
     ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01752\C++\s553659007.cpp:70:1: error: expected declaration before '}' token
 }
 ^
"
s407720076,p02749,FAILED,OTHER,".cpp:118:20: error: void value not ignored as it ought to be
     int t = s2.pop();
                    ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02749\C++\s407720076.cpp:122:20: error: void value not ignored as it ought to be
     int t = s0.pop();
                    ^
"
s074137598,p02285,FAILED,OTHER,"transformer-defect-prediction\data\processed\sources\p02285\C++\s074137598.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02285\C++\s074137598.cpp:128:21: error: 'sacnf' was not declared in this scope
       sacnf(""%d"", &x);
                     ^
"
s599145687,p01547,FAILED,OTHER,"transformer-defect-prediction\data\processed\sources\p01547\C++\s599145687.cpp:7:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\predefined_ops.h:43:23: note:   'std::complex<double>' is not derived from 'const std::pair<_T1, _T2>'
       { return *__it1 < *__it2; }
                ~~~~~~~^~~~~~~~
"
s233748915,p04001,FAILED,OTHER,"748915.cpp:11:14: note:   couldn't deduce template parameter '_Alloc'
   cout<<ans<<end;:
              ^~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p04001\C++\s233748915.cpp:11:18: error: expected primary-expression before ':' token
   cout<<ans<<end;:
                  ^
"
s328297299,p03610,FAILED,OTHER,"\data\processed\sources\p03610\C++\s328297299.cpp:8:21: error: expected ';' before '<' token
   for (int i = 0, i < len; ++i)
                     ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03610\C++\s328297299.cpp:8:21: error: expected primary-expression before '<' token
"
s565944465,p00771,COMPILED_CLEAN,,"narrowing conversion of '(& Y)->std::vector<_Tp, _Alloc>::operator[]<long long int, std::allocator<long long int> >(((std::vector<long long int>::size_type)i))' from '__gnu_cxx::__alloc_traits<std::allocator<long long int> >::value_type {aka long long int}' to 'long double' inside { } [-Wnarrowing]
"
s707774461,p03700,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03700\C++\s707774461.cpp:1:1: error: 'a' does not name a type
 a
 ^
"
s227212521,p00246,COMPILED_CLEAN,,
s331985974,p02698,FAILED,OTHER,"'__gnu_cxx::__alloc_traits<std::allocator<long long int> >::value_type {aka long long int}'
 #define PB push_back
            ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02698\C++\s331985974.cpp:78:13: note: in expansion of macro 'PB'
     g[n][q].PB(a[n]);
             ^~
"
s774327556,p00046,COMPILED_CLEAN,,
s021797192,p01974,COMPILED_CLEAN,,
s883962593,p00273,FAILED,OTHER,"d operands of types 'int [365]' and 'int [365]' to binary 'operator*'
  f=x*b+y*p;}
    ~^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00273\C++\s883962593.cpp:11:9: error: invalid operands of types 'int [365]' and 'int [365]' to binary 'operator*'
  f=x*b+y*p;}
        ~^~
"
s506096438,p00264,COMPILED_CLEAN,,
s078700404,p02990,FAILED,OTHER,"rogram
 }ã€€
  ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02990\C++\s078700404.cpp:52:3: error: stray '\200' in program
 }ã€€
   ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02990\C++\s078700404.cpp:52:4: error: stray '\200' in program
 }ã€€
    ^
"
s099113353,p03746,FAILED,OTHER,"r-defect-prediction\data\processed\sources\p03746\C++\s099113353.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03746\C++\s099113353.cpp:63:26: error: 'memset' was not declared in this scope
  memset(in, 0, sizeof(in));
                          ^
"
s421766046,p03259,FAILED,OTHER,"32\bits\stdc++.h:46,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03259\C++\s421766046.cpp:1:
c:\mingw\include\stdio.h:677:41: note: declared here
 _CRTIMP __cdecl __MINGW_NOTHROW  int    puts (const char *);
                                         ^~~~
"
s031558715,p02256,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02256\C++\s031558715.cpp:1:21: fatal error: iostream.h: No such file or directory
 #include<iostream.h>
                     ^
compilation terminated.
"
s439414239,p00054,FAILED,OTHER,"data\processed\sources\p00054\C++\s439414239.cpp:1:1: error: 'import' does not name a type
 import java.util.Scanner;
 ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00054\C++\s439414239.cpp:3:1: error: expected unqualified-id before 'public'
 public class Main {
 ^~~~~~
"
s523824008,p03338,FAILED,OTHER,"r-defect-prediction\data\processed\sources\p03338\C++\s523824008.cpp:42:5: error: redefinition of 'int main()'
 int main() {
     ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03338\C++\s523824008.cpp:5:5: note: 'int main()' previously defined here
 int main() {
     ^~~~
"
s424547066,p02955,FAILED,OTHER,"ssed\sources\p02955\C++\s424547066.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02955\C++\s424547066.cpp:16:5: error: 'sort' is not a member of 'std'
     std::sort(A_arr.begin(), A_arr.end(), [nd](int l, int r){return (l%nd)<(r%nd);});
     ^~~
"
s328497307,p02982,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02982\C++\s328497307.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02982\C++\s328497307.cpp:29:13: error: 'sqrt' was not declared in this scope
   t = sqrt(a);
             ^
"
s843428349,p02885,FAILED,OTHER,"transformer-defect-prediction\data\processed\sources\p02885\C++\s843428349.cpp:4:1: error: 'fn' does not name a type
 fn read<T: FromStr>() -> T {
 ^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02885\C++\s843428349.cpp:16:1: error: 'fn' does not name a type
 fn main() {
 ^~
"
s289404036,p02976,FAILED,OTHER,"t main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02976\C++\s289404036.cpp:155:68: error: 'any_of' was not declared in this scope
   if (any_of(begin(degs), end(degs), [] (auto d) { return d == 1; }))
                                                                    ^
"
s460169309,p03032,FAILED,OTHER,"p:610:78: fatal error: ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp: No such file or directory
 #include <ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp>
                                                                              ^
compilation terminated.
"
s377960393,p03730,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03730\C++\s377960393.cpp: In function 'int yu(int, int)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03730\C++\s377960393.cpp:5:9: error: expected primary-expression before ')' token
   while() {
         ^
"
s104314639,p03346,COMPILED_CLEAN,,
s670904567,p02420,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02420\C++\s670904567.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02420\C++\s670904567.cpp:21:9: error: expected ';' before '}' token
         }
         ^
"
s590544861,p00486,FAILED,OTHER,"rmer-defect-prediction\data\processed\sources\p00486\C++\s590544861.cpp:23:31: error: could not convert '{<expression error>, <expression error>}' from '<brace-enclosed initializer list>' to 'std::pair<long long int, long long int>'
 P ans = { LLONG_MAX,LLONG_MAX };
                               ^
"
s485308934,p00138,FAILED,OTHER,"ources\p00138\C++\s485308934.cpp: In function 'void calc(std::vector<std::pair<double, int> >&)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00138\C++\s485308934.cpp:14:26: error: 'sort' was not declared in this scope
     sort(begin(v), end(v));
                          ^
"
s850342008,p03183,FAILED,OTHER,"s = max(ans, dp[j] = max(dp[j], dp[j - a[i].w] + a[i].v));
                                                                     ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03183\C++\s850342008.cpp:32:9: error: 'ans' was not declared in this scope
   cout<<ans;
         ^~~
"
s709961039,p03416,FAILED,OTHER," function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03416\C++\s709961039.cpp:11:1: error: expected '}' at end of input
 }
 ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03416\C++\s709961039.cpp:11:1: error: expected '}' at end of input
"
s659446546,p00273,FAILED,OTHER,":\Dev\Github\transformer-defect-prediction\data\processed\sources\p00273\C++\s659446546.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00273\C++\s659446546.cpp:14:20: error: expected '(' before '{' token
          } else if {
                    ^
"
s860172407,p03901,FAILED,OTHER,"pes 'double' and 'int' to binary 'operator%'
   if(x%2==1) x++;
      ~^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03901\C++\s860172407.cpp:8:25: error: 'setprecision' was not declared in this scope
   cout << setprecision(8) << x/(2*p) << endl;
                         ^
"
s571761536,p03231,FAILED,OTHER,"+\s571761536.cpp:13:20: error: expected ')' before ';' token
     for(int i=0;i<K;i++)
                    ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03231\C++\s571761536.cpp:13:21: error: 'i' was not declared in this scope
     for(int i=0;i<K;i++)
                     ^
"
s596631542,p02344,FAILED,OTHER,"efect-prediction\data\processed\sources\p02344\C++\s596631542.cpp:50:74: error: 'Nil' is not a member of 'Option<int>'
   if (!is_related(other)) return std::make_shared<Option<int>::NilClass>(Option<int>::Nil());
                                                                          ^~~~~~~~~~~
"
s868613402,p03619,FAILED,OTHER,"ope
  if(sum==abs(x-xx)+1||sum==abs(y-yy)+1)
                                ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03619\C++\s868613402.cpp:58:34: error: 'yy' was not declared in this scope
  if(sum==abs(x-xx)+1||sum==abs(y-yy)+1)
                                  ^~
"
s319045796,p03652,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03652\C++\s319045796.cpp:1:1: error: 'ok' does not name a type
 ok
 ^~
"
s335593407,p02721,FAILED,OTHER,"ev\Github\transformer-defect-prediction\data\processed\sources\p02721\C++\s335593407.cpp: In lambda function:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02721\C++\s335593407.cpp:18:16: error: 's' was not declared in this scope
             if(s[i] == 'o'){
                ^
"
s530866483,p01660,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01660\C++\s530866483.cpp:10:2: error: #else without #if
 #else
  ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01660\C++\s530866483.cpp:12:2: error: #endif without #if
 #endif
  ^~~~~
"
s571896885,p01227,FAILED,OTHER,"\Github\transformer-defect-prediction\data\processed\sources\p01227\C++\s571896885.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01227\C++\s571896885.cpp:20:18: error: 'sort' was not declared in this scope
     sort(b, b+n-1);
                  ^
"
s060050028,p00452,FAILED,OTHER,"data\processed\sources\p00452\C++\s060050028.cpp:15:3: error: 'cin' was not declared in this scope
   cin >> n >> m;
   ^~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00452\C++\s060050028.cpp:58:3: error: 'cout' was not declared in this scope
   cout << Max << '\n';
   ^~~~
"
s110460455,p01488,COMPILED_CLEAN,,
s364122345,p02956,FAILED,OTHER,": 'T BIT<T>::sum(int) [with T = int]' is private within this context
         int lowOver = tree.sum(yi);
                                  ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02956\C++\s364122345.cpp:29:7: note: declared private here
     T sum(int k) {
       ^~~
"
s817699205,p04041,COMPILED_CLEAN,,
s956842921,p03390,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03390\C++\s956842921.cpp:1:1: error: 'q' does not name a type
 q=int(raw_input())
 ^
"
s833320658,p03850,FAILED,OTHER,"t main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03850\C++\s833320658.cpp:26:49: error: 'min_dec' was not declared in this scope
             if (total_minus > 0)min_minus = min(min_dec, total_minus + cur_minus);
                                                 ^~~~~~~
"
s989629564,p00782,COMPILED_CLEAN,,
s004535764,p03674,FAILED,OTHER,"4.cpp:35:14: error: 'per' was not declared in this scope
  per (i, n, 1) ifac[i-1] = ifac[i] * i % MOD;
              ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03674\C++\s004535764.cpp:37:16: error: 'rep' was not declared in this scope
  rep (i, 1, n+1)
                ^
"
s487980268,p03448,FAILED,OTHER,"ources\p03448\C++\s487980268.cpp:8:2: error: 'Z' was not declared in this scope
  Z=Y/10;//ï¼•ï¼�ï¼�å††çŽ‰ã�Œæœ€å¤§ä½•å€‹ã�‹
  ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03448\C++\s487980268.cpp:9:2: error: 'sum' was not declared in this scope
  sum=0;//å ´å�ˆã�®æ•°
  ^~~
"
s330189088,p03943,FAILED,OTHER,"43\C++\s330189088.cpp:8:13: error: expected primary-expression before '=' token
 if((a+b+c)%==0) cout<<""Yes""<<endl;
             ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03943\C++\s330189088.cpp:10:1: error: expected primary-expression before 'return'
 return 0;
 ^~~~~~
"
s733105184,p00630,FAILED,OTHER,"ents, 1 provided
    for(i=s.begin();(i=find_if(i,s.end(),ptr_fun(isupper)))!=s.end();++i)
                                                        ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00630\C++\s733105184.cpp:20:56: note:   couldn't deduce template parameter '_Arg1'
"
s106868742,p00654,FAILED,OTHER,"-defect-prediction\data\processed\sources\p00654\C++\s106868742.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00654\C++\s106868742.cpp:29:28: error: 'gcd' was not declared in this scope
    temp = gcd( temp , b[i] );
                            ^
"
s868026096,p03371,FAILED,OTHER,"3371\C++\s868026096.cpp:5:3: error: 'cout' was not declared in this scope
   cout <<  ans << endl;
   ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03371\C++\s868026096.cpp:5:19: error: 'endl' was not declared in this scope
   cout <<  ans << endl;
                   ^~~~
"
